size,	c0,	c32,	c64,	c96,	c128,	c256,	c512,	c1024,	c2048
128,	0.00323,	0.00298,	0.00301,	0.00298,	0.00294,	0.00294,	0.00294,	0.00294,	0.00294
256,	0.00803,	0.00739,	0.00755,	0.00771,	0.00774,	0.00771,	0.00771,	0.00774,	0.00771
512,	0.02816,	0.025568,	0.026432,	0.026848,	0.02704,	0.02752,	0.027424,	0.027488,	0.027488
1024,	0.106784,	0.099201,	0.10112,	0.102369,	0.102336,	0.1056,	0.109856,	0.109376,	0.109217
2048,	0.418401,	0.384802,	0.392001,	0.396194,	0.396609,	0.410017,	0.431745,	0.424898,	0.426305
4096,	1.406307,	1.290435,	1.315746,	1.33741,	1.340611,	1.376386,	1.455715,	1.451778,	1.440834
8192,	5.615047,	5.45575,	5.518825,	5.495046,	5.511173,	5.520006,	5.858662,	6.005287,	5.821958
